ap,ep,sinip,astar,iz,H
3.013,0.1441,0.2474,0.014,0.12,14.6
2.6773,0.1461,0.2253,0.066,-0.18,16.9
3.0274,0.0856,0.2121,0.054,0.05,11.6
2.3572,0.1738,0.1605,0.058,0.08,16.6
2.6239,0.1701,0.2203,0.116,-0.08,14.2
3.0621,0.0887,0.188,0.152,0.3,15.1
3.1443,0.1979,0.1786,-0.159,0.02,15
2.655,0.1173,0.1783,-0.08,-0.56,16.8
3.0117,0.0717,0.1707,0.067,0.32,14.9
2.6695,0.1466,0.2078,-0.004,0.11,14.6
2.5542,0.1601,0.2309,0.134,-0.07,15.6
3.0762,0.0871,0.1669,0.063,-0.58,16.2
2.2624,0.0777,0.1547,0.196,0.07,16.6
2.7551,0.1787,0.2466,0,0.1,15.2
2.7431,0.1171,0.2078,0.134,-0.08,15
3.0835,0.0686,0.1784,-0.027,0.04,16.2
3.1541,0.089,0.207,0.125,-0.12,14.5
2.5909,0.1498,0.1267,-0.111,0.07,15.7
2.5987,0.1358,0.2475,0.187,0.05,14.8
2.2915,0.0976,0.1091,0.111,-0.47,16.1
2.4277,0.2039,0.1303,0.102,-0.2,16.3
2.8579,0.1312,0.1431,0.156,0.03,15.6
3.1789,0.2444,0.2194,-0.111,0.13,14.1
3.0802,0.0795,0.2908,-0.039,-0.08,15.5
2.7752,0.1148,0.2889,0.094,0.03,16
2.2346,0.1358,0.0978,-0.004,-0.07,16.4
2.3625,0.125,0.0984,0.085,-0.29,16.3
2.7532,0.021,0.1127,0.13,0.01,14.9
2.4445,0.1099,0.1073,0.13,-0.13,16.6
2.3721,0.1923,0.211,0.085,0.04,16.4
3.1533,0.0968,0.1581,0.022,0.14,16
2.6074,0.0961,0.2526,0.108,-0.01,15.5
2.2788,0.1224,0.0743,0.165,-0.04,17.3
2.3177,0.0925,0.1171,0.156,-0.27,15.9
2.7705,0.1264,0.158,0.05,0.07,15.9
2.6552,0.2298,0.0905,0.21,-0.02,16.3
2.7295,0.1366,0.0867,0.161,-0.04,16
2.3153,0.186,0.1124,0.13,-0.25,16.4
2.8021,0.0456,0.1413,0.107,0,15.1
2.3136,0.0645,0.0825,0.152,-0.04,15.7
3.0144,0.0835,0.1894,-0.039,0.04,16
2.2726,0.1434,0.0824,-0.053,0.15,17.3
3.1455,0.0879,0.1893,0.067,0.14,14.1
2.6868,0.1736,0.0691,-0.08,0.1,16.1
2.7512,0.2569,0.0727,0.112,-0.23,17.3
2.5622,0.1637,0.0841,0.09,-0.21,15.9
2.5466,0.1508,0.0799,0.067,-0.51,16.6
2.7116,0.0526,0.1048,0,-0.2,15.6
2.4015,0.174,0.0696,0.21,0.14,16.1
2.5977,0.2363,0.0757,0.116,-0.01,16.7
2.4385,0.1203,0.106,0.112,-0.18,15.7
